timestamp,datetime,locomotive_id,event_type,location,from_location,to_location,purpose,coupler_type,wagon_count,duration_min
2221.0,2025-12-02T13:01:00+00:00,LOCO_01,RAKE_COUPLING_STARTED,retrofitted,,,,DAC,6,2.5
2223.5,2025-12-02T13:03:30+00:00,LOCO_01,RAKE_COUPLING_COMPLETED,retrofitted,,,,DAC,6,2.5
2223.5,2025-12-02T13:03:30+00:00,LOCO_01,LOCO_COUPLING_STARTED,retrofitted,,,,DAC,6,0.5
2224.0,2025-12-02T13:04:00+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,retrofitted,,,,DAC,6,0.5
2224.0,2025-12-02T13:04:00+00:00,LOCO_01,SHUNTING_PREP,retrofitted,,,,,6,1.0
2225.0,2025-12-02T13:05:00+00:00,LOCO_01,MOVING,parking16,retrofitted,parking16,,,0,120.0
2345.0,2025-12-02T15:05:00+00:00,LOCO_01,LOCO_DECOUPLING_STARTED,parking16,,,,DAC,6,0.5
2345.5,2025-12-02T15:05:30+00:00,LOCO_01,LOCO_DECOUPLING_COMPLETED,parking16,,,,DAC,6,0.5
2345.5,2025-12-02T15:05:30+00:00,LOCO_01,RAKE_DECOUPLING_STARTED,parking16,,,,DAC,6,2.5
2348.0,2025-12-02T15:08:00+00:00,LOCO_01,RAKE_DECOUPLING_COMPLETED,parking16,,,,DAC,6,2.5
2350.5,2025-12-02T15:10:30+00:00,LOCO_01,MOVING,track_19,parking16,track_19,,,0,60.0
2410.5,2025-12-02T16:10:30+00:00,LOCO_01,MOVING,WS_02,track_19,WS_02,,,0,5.0
2415.5,2025-12-02T16:15:30+00:00,LOCO_01,RAKE_COUPLING_STARTED,WS_02,,,,DAC,2,0.5
2416.0,2025-12-02T16:16:00+00:00,LOCO_01,RAKE_COUPLING_COMPLETED,WS_02,,,,DAC,2,0.5
2416.0,2025-12-02T16:16:00+00:00,LOCO_01,LOCO_COUPLING_STARTED,WS_02,,,,DAC,2,0.5
2416.5,2025-12-02T16:16:30+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,WS_02,,,,DAC,2,0.5
2416.5,2025-12-02T16:16:30+00:00,LOCO_01,SHUNTING_PREP,WS_02,,,,,2,1.0
2417.5,2025-12-02T16:17:30+00:00,LOCO_01,MOVING,retrofitted,WS_02,retrofitted,,,0,5.0
2422.5,2025-12-02T16:22:30+00:00,LOCO_01,MOVING,track_19,retrofitted,track_19,,,0,5.0
2427.5,2025-12-02T16:27:30+00:00,LOCO_01,MOVING,WS_01,track_19,WS_01,,,0,5.0
2432.5,2025-12-02T16:32:30+00:00,LOCO_01,RAKE_COUPLING_STARTED,WS_01,,,,DAC,2,0.5
2433.0,2025-12-02T16:33:00+00:00,LOCO_01,RAKE_COUPLING_COMPLETED,WS_01,,,,DAC,2,0.5
2433.0,2025-12-02T16:33:00+00:00,LOCO_01,LOCO_COUPLING_STARTED,WS_01,,,,DAC,2,0.5
2433.5,2025-12-02T16:33:30+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,WS_01,,,,DAC,2,0.5
2433.5,2025-12-02T16:33:30+00:00,LOCO_01,SHUNTING_PREP,WS_01,,,,,2,1.0
2434.5,2025-12-02T16:34:30+00:00,LOCO_01,MOVING,retrofitted,WS_01,retrofitted,,,0,5.0
2439.5,2025-12-02T16:39:30+00:00,LOCO_01,MOVING,track_19,retrofitted,track_19,,,0,5.0
2444.5,2025-12-02T16:44:30+00:00,LOCO_01,ALLOCATED,,,,batch_transport,,0,0.0
2444.5,2025-12-02T16:44:30+00:00,LOCO_01,MOVING,retrofitted,track_19,retrofitted,,,0,5.0
2449.5,2025-12-02T16:49:30+00:00,LOCO_01,RAKE_COUPLING_STARTED,retrofitted,,,,DAC,4,1.5
2451.0,2025-12-02T16:51:00+00:00,LOCO_01,RAKE_COUPLING_COMPLETED,retrofitted,,,,DAC,4,1.5
2451.0,2025-12-02T16:51:00+00:00,LOCO_01,LOCO_COUPLING_STARTED,retrofitted,,,,DAC,4,0.5
2451.5,2025-12-02T16:51:30+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,retrofitted,,,,DAC,4,0.5
2451.5,2025-12-02T16:51:30+00:00,LOCO_01,SHUNTING_PREP,retrofitted,,,,,4,1.0
2452.5,2025-12-02T16:52:30+00:00,LOCO_01,MOVING,parking1,retrofitted,parking1,,,0,5.0
2457.5,2025-12-02T16:57:30+00:00,LOCO_01,LOCO_DECOUPLING_STARTED,parking1,,,,DAC,4,0.5
2458.0,2025-12-02T16:58:00+00:00,LOCO_01,LOCO_DECOUPLING_COMPLETED,parking1,,,,DAC,4,0.5
2458.0,2025-12-02T16:58:00+00:00,LOCO_01,RAKE_DECOUPLING_STARTED,parking1,,,,DAC,4,1.5
2459.5,2025-12-02T16:59:30+00:00,LOCO_01,RAKE_DECOUPLING_COMPLETED,parking1,,,,DAC,4,1.5
2461.0,2025-12-02T17:01:00+00:00,LOCO_01,MOVING,track_19,parking1,track_19,,,0,5.0
2466.0,2025-12-02T17:06:00+00:00,LOCO_01,MOVING,collection1,track_19,collection1,,,0,60.0
2526.0,2025-12-02T18:06:00+00:00,LOCO_01,ALLOCATED,,,,batch_transport,,0,0.0
